X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
30,0.122,30,0.17,30,0.216,30,0.26,30,0.31
35,0.19,35,0.24,35,0.296,35,0.34,35,0.398
40,0.27,40,0.33,40,0.388,40,0.444,40,0.504
45,0.364,45,0.43,45,0.494,45,0.556,45,0.62
50,0.47,50,0.544,50,0.614,50,0.676,50,0.744
55,0.6,55,0.668,55,0.74,55,0.81,55,0.882
60,0.74,60,0.814,60,0.88,60,0.95,60,1.028
65,0.894,65,0.964,65,1.04,65,1.112,65,1.186
70,1.066,70,1.14,70,1.21,70,1.28,70,1.358
75,1.25,75,1.324,75,1.4,75,1.47,75,1.544
80,1.444,80,1.52,80,1.596,80,1.666,80,1.746
85,1.65,85,1.724,85,1.8,85,1.874,85,1.95
90,1.862,90,1.942,90,2.016,90,2.094,90,2.168
95,2.088,95,2.172,95,2.244,95,2.326,95,2.41
