X_0,Y_0,X_20,Y_20,X_40,Y_40
30,0.72,30,0.77,30,0.85
40,1.18,40,1.27,40,1.37
50,1.86,50,1.97,50,2.08
60,2.68,60,2.79,60,2.89
70,3.58,70,3.69,70,3.79
80,4.54,80,4.65,80,4.75
90,5.56,90,5.65,90,5.75
100,6.62,100,6.71,100,6.8
110,7.72,110,7.82,110,7.91
120,8.95,120,9.05,120,9.15
130,10.3,130,10.4,130,10.5
140,11.89,140,12,140,12.1
150,13.9,150,14.01,150,14.13
