X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
20,0.11,20,0.175,20,0.24,20,0.3,20,0.345
25,0.185,25,0.255,25,0.325,25,0.4,25,0.45
30,0.275,30,0.35,30,0.425,30,0.5,30,0.55
35,0.35,35,0.45,35,0.525,35,0.6,35,0.66
40,0.455,40,0.55,40,0.65,40,0.71,40,0.79
45,0.59,45,0.675,45,0.775,45,0.85,45,0.925
50,0.715,50,0.81,50,0.915,50,1,50,1.06
55,0.86,55,0.965,55,1.06,55,1.15,55,1.23
60,1.025,60,1.135,60,1.23,60,1.33,60,1.41
65,1.2,65,1.3,65,1.415,65,1.525,65,1.6
70,1.4,70,1.5,70,1.625,70,1.715,70,1.805
75,1.6,75,1.71,75,1.825,75,1.925,75,2.025
80,1.805,80,1.925,80,2.05,80,2.125,80,2.245
85,2.04,85,2.15,85,2.275,85,2.365,85,2.46
90,2.275,90,2.405,90,2.515,90,2.61,90,2.705
95,2.54,95,2.665,95,2.775,95,2.875,95,2.975
100,2.815,100,2.94,100,3.05,100,3.155,100,3.25
105,3.1,105,3.215,105,3.33,105,3.45,105,3.55
110,3.4,110,3.505,110,3.625,110,3.75,110,3.85
115,3.7,115,3.825,115,3.95,115,4.065,115,4.155
120,4.045,120,4.15,120,4.27,120,4.395,120,4.49
125,4.37,125,4.5,125,4.6,125,4.73,125,4.835
130,4.725,130,4.85,130,4.96,130,5.09,130,5.185
135,5.1,135,5.225,135,5.33,135,5.45,135,5.56
140,5.49,140,5.6,140,5.725,140,5.85,140,5.95
