X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
123.2398522,0.975018114,122.9005685,1.291670046,123.0713638,1.541284169,123.0713638,1.541284169
145.6926742,1.331248606,145.3534799,1.679487967,145.5245672,2.032356809,145.5246563,2.06389097
168.0946755,1.760362394,167.8066353,2.153593499,167.97786,2.55506824,167.9781582,2.660529604
190.5988935,2.247101815,190.2599431,2.681628787,190.4312526,3.113063233,190.4317492,3.288720155
213.0521992,2.774366678,212.7133534,3.245874055,212.8847303,3.701191679,212.8854558,3.957743236
235.505584,3.329623654,235.1668834,3.852492703,235.3383541,4.340938607,235.3392727,4.665801189
257.9591678,3.955246121,257.6205769,4.516893234,257.7922109,5.063121019,257.7933154,5.453726544
280.4131466,4.720572339,280.0745601,5.283760303,280.2463771,5.894703796,280.2476449,6.343091203
302.8675568,5.638442727,302.5291271,6.257101297,302.7010661,6.911188596,302.7024145,7.388081732
325.3224244,6.718102385,324.9841341,7.386068162,325.1562017,8.085610541,325.1575458,8.560962827
347.7775709,7.896376456,347.4393772,8.598497745,347.6115616,9.339386272,347.6129166,9.818590682
370.232994,9.172494514,369.8949085,9.912880249,370.0671895,10.68792429,370.0685228,11.15942445
392.6887788,10.57650314,392.3507674,11.34308333,392.5229917,12.09809631,392.5243685,12.58500498
415.3150125,12.10762829,414.8069203,12.87729379,414.9790837,13.61073488,414.9805737,14.13770564
437.7713833,13.71888127,437.2632083,14.45927061,437.4354849,15.2327738,437.4369837,15.76282627
460.2278804,15.3748189,459.7196662,16.10134059,459.8919864,16.89025228,459.8934961,17.42415688
482.6844581,17.05926226,482.1762853,17.80042203,482.348636,18.60011967,482.3501878,19.14891915
505.1413517,18.85541726,504.6331092,19.57192342,504.8055427,20.40089722,504.8071134,20.95637372
527.598559,20.76251347,527.0903688,21.49750984,527.2627631,22.31261598,527.2643054,22.85807695
550.0559123,22.72122817,549.5478789,23.51169514,549.7202056,24.30291811,549.7216848,24.82603675
572.5135618,24.78472067,572.0055698,25.58982573,572.1778094,26.35023169,572.1793234,26.88567713
594.631261,26.92911503,593.2726342,27.66798157,593.9552012,28.44917818,593.7866257,28.98462724
615.8135175,29.09101789,615.0503288,29.87401715,615.307548,30.6113856,614.3734128,31.09130324
636.2302909,31.2245083,633.8507441,31.82795575,636.0646466,32.79656432,634.7052174,33.25168329
656.6472991,33.44105053,654.0975407,34.00128075,656.4816931,35.02666603,654.6969281,35.44215138
676.7241739,35.67370187,674.2594247,36.22140659,676.4734744,37.24208733,674.3485091,37.65004685
696.20579,37.92565948,693.3156467,38.41311865,695.0902089,39.40211779,692.6202622,39.782588
714.9219091,40.14431917,711.6915,40.60107861,713.5653228,41.60481722,710.6747013,41.92314973
733.2978982,42.3803023,729.897357,42.82199926,731.6010983,43.82856636,728.7955142,44.14430759
751.5038538,44.63606328,747.6779943,45.04434137,749.6370016,46.09751378,747.0015064,46.41301599
768.9442764,46.8458183,765.4587221,47.29869893,766.9073511,48.3130399,764.6120129,48.62076644
786.3848795,49.1193688,782.7290799,49.51716764,783.5822712,50.48750001,781.8824006,50.8498285
802.9749443,51.36082774,799.2339674,51.71175871,799.9170662,52.68103536,798.5574525,53.07089932
819.3098507,53.59377033,815.5688912,53.95084544,816.5922439,54.94659823,814.8923793,55.31104539
834.8793538,55.82651729,831.3935226,56.18146833,832.2468247,57.19099607,830.7169987,57.53743093
850.2787285,58.04549651,847.0481064,58.4269255,847.9014504,59.45128393,846.1163725,59.75610749
865.5081292,60.30533939,862.4476891,60.7194528,863.300995,61.73034255,861.17565,62.00399862
880.3122758,62.55444661,877.0815271,62.89108088,878.6156155,64.05207902,876.0648961,64.27247473
894.7762606,64.80961438,891.3753778,65.13051358,893.3347618,66.31692673,890.6990388,66.55185226
909.0702379,67.0938418,905.1588916,67.34574374,907.5435028,68.53335854,904.9079039,68.81219096
912.6436476,67.63493462,908.7322944,67.88441523,911.1170048,69.1071394,908.3962712,69.35417341
