X_0,Y_0,X_20,Y_20,X_40,Y_40
25,0.42,25,0.52,25,0.61
35,0.6,35,0.74,35,0.87
45,1,45,1.17,45,1.26
55,1.53,55,1.68,55,1.8
65,2.17,65,2.33,65,2.44
75,2.93,75,3.05,75,3.18
85,3.7,85,3.84,85,3.97
95,4.57,95,4.7,95,4.85
105,5.59,105,5.71,105,5.83
115,6.7,115,6.81,115,6.93
125,7.9,125,8.03,125,8.15
135,9.3,135,9.43,135,9.55
145,10.83,145,10.96,145,11.12
155,12.45,155,12.63,155,12.78
