X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
200,2.46,200,2.86,200,3.28,200,3.46
225,3.24,225,3.7,225,4.2,225,4.38
250,4.12,250,4.68,250,5.2,250,5.38
275,5.14,275,5.78,275,6.36,275,6.56
300,6.36,300,7,300,7.6,300,7.8
325,7.68,325,8.36,325,9,325,9.22
350,9.14,350,9.86,350,10.48,350,10.68
375,10.72,375,11.4,375,12.1,375,12.32
400,12.46,400,13.1,400,13.8,400,14.06
425,14.22,425,14.9,425,15.6,425,15.9
450,16.08,450,16.78,450,17.46,450,17.74
475,18.04,475,18.72,475,19.46,475,19.72
500,20.12,500,20.84,500,21.6,500,21.86
550,24.7,550,25.48,550,26.22,550,26.54
600,29.9,600,30.64,600,31.38,600,31.68
650,35.6,650,36.3,650,37.06,650,37.4
700,41.66,700,42.38,700,43.2,700,43.56
730,45.48,730,46.26,730,47.06,730,47.44
760,49.4,760,50.2,760,51,760,51.4
