X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
30,0.51,30,0.554,30,0.604,30,0.65,30,0.692
33,0.612,33,0.656,33,0.704,33,0.748,33,0.796
36,0.724,36,0.77,36,0.816,36,0.862,36,0.91
39,0.844,39,0.89,39,0.936,39,0.986,39,1.03
42,0.968,42,1.02,42,1.064,42,1.114,42,1.16
45,1.102,45,1.15,45,1.2,45,1.246,45,1.298
48,1.236,48,1.288,48,1.34,48,1.388,48,1.446
51,1.384,51,1.44,51,1.49,51,1.544,51,1.6
54,1.544,54,1.6,54,1.654,54,1.71,54,1.766
57,1.712,57,1.764,57,1.824,57,1.882,57,1.94
60,1.886,60,1.942,60,2,60,2.06,60,2.122
63,2.076,63,2.132,63,2.188,63,2.248,63,2.312
66,2.274,66,2.33,66,2.39,66,2.45,66,2.516
69,2.484,69,2.54,69,2.604,69,2.662,69,2.73
72,2.708,72,2.764,72,2.828,72,2.888,72,2.952
75,2.938,75,2.996,75,3.06,75,3.12,75,3.186
78,3.18,78,3.24,78,3.3,78,3.36,78,3.428
81,3.424,81,3.484,81,3.544,81,3.608,81,3.668
84,3.674,84,3.734,84,3.798,84,3.854,84,3.922
87,3.93,87,3.99,87,4.05,87,4.108,87,4.172
90,4.196,90,4.258,90,4.314,90,4.38,90,4.44
92,4.374,92,4.434,92,4.49,92,4.552,92,4.614
