X_0,Y_0,X_20,Y_20,X_40,Y_40
20,0.175,20,0.25,20,0.3175
30,0.345,30,0.45,30,0.5575
40,0.6125,40,0.74,40,0.87
50,0.95,50,1.085,50,1.225
60,1.345,60,1.49,60,1.635
70,1.7975,70,1.95,70,2.1
80,2.315,80,2.4875,80,2.65
90,2.915,90,3.0875,90,3.26
100,3.595,100,3.78,100,3.955
110,4.3625,110,4.5425,110,4.7225
120,5.1925,120,5.375,120,5.5425
130,6.075,130,6.2675,130,6.445
