X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
25,0.56,25,0.6,25,0.6375,25,0.6725,25,0.71
31,0.735,31,0.775,31,0.815,31,0.85,31,0.8875
37,1.03,37,1.0675,37,1.1075,37,1.15,37,1.1875
43,1.395,43,1.4375,43,1.48,43,1.52,43,1.5575
49,1.805,49,1.845,49,1.885,49,1.93,49,1.965
55,2.2575,55,2.2925,55,2.335,55,2.38,55,2.425
61,2.735,61,2.7875,61,2.8275,61,2.875,61,2.925
67,3.2975,67,3.345,67,3.39,67,3.4425,67,3.495
73,3.925,73,3.9775,73,4.0275,73,4.075,73,4.1275
79,4.615,79,4.665,79,4.7175,79,4.77,79,4.8175
85,5.3375,85,5.395,85,5.45,85,5.505,85,5.55
91,6.095,91,6.145,91,6.1925,91,6.2475,91,6.295
