X_0,Y_0,X_20,Y_20,X_40,Y_40
30,0.33,30,0.44,30,0.55
40,0.55,40,0.66,40,0.77
50,0.94,50,1.03,50,1.15
60,1.43,60,1.53,60,1.65
70,2,70,2.1,70,2.21
80,2.63,80,2.72,80,2.84
90,3.29,90,3.4,90,3.5
100,4.07,100,4.18,100,4.29
110,4.94,110,5.05,110,5.17
120,5.86,120,5.98,120,6.11
130,6.92,130,7.03,130,7.15
140,8.04,140,8.16,140,8.28
150,9.23,150,9.35,150,9.45
