X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
20,0.02,20,0.04,20,0.06,20,0.078
25,0.04,25,0.062,25,0.098,25,0.12
30,0.062,30,0.105,30,0.15,30,0.17
35,0.1,35,0.155,35,0.21,35,0.23
40,0.14,40,0.208,40,0.27,40,0.3
45,0.182,45,0.265,45,0.35,45,0.375
50,0.238,50,0.338,50,0.438,50,0.458
55,0.3,55,0.41,55,0.525,55,0.55
60,0.362,60,0.49,60,0.625,60,0.65
65,0.442,65,0.582,65,0.73,65,0.755
70,0.532,70,0.684,70,0.84,70,0.865
75,0.63,75,0.8,75,0.97,75,0.998
80,0.741,80,0.92,80,1.1,80,1.13
85,0.858,85,1.05,85,1.245,85,1.28
90,0.99,90,1.198,90,1.395,90,1.43
95,1.142,95,1.35,95,1.56,95,1.6
100,1.3,100,1.525,100,1.73,100,1.775
105,1.48,105,1.702,105,1.92,105,1.96
110,1.67,110,1.898,110,2.11,110,2.147
115,1.868,115,2.095,115,2.31,115,2.347
120,2.07,120,2.295,120,2.515,120,2.56
125,2.28,125,2.5,125,2.715,125,2.768
130,2.5,130,2.718,130,2.94,130,2.99
135,2.72,135,2.938,135,3.16,135,3.205
140,2.94,140,3.138,140,3.385,140,3.435
145,3.168,145,3.38,145,3.61,145,3.66
150,3.4,150,3.618,150,3.84,150,3.89
155,3.638,155,3.86,155,4.075,155,4.135
