X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
150,0.6,150,0.7,150,0.8,150,1.6
200,1.38,200,1.6,200,1.84,200,3.12
250,2.6,250,2.94,250,3.2,250,4.9
300,4.3,300,4.76,300,5.18,300,7.08
350,6.6,350,7.14,350,7.64,350,9.66
400,9.44,400,10,400,10.5,400,12.5
450,12.66,450,13.2,450,13.74,450,15.76
500,16.3,500,16.9,500,17.44,500,19.6
550,20.4,550,21.04,550,21.6,550,23.86
600,25.12,600,25.8,600,26.4,600,28.48
650,30.32,650,31,650,31.64,650,33.5
700,35.9,700,36.5,700,37.12,700,38.96
760,42.88,760,43.46,760,44.06,760,46.2
