X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
50,0.26,50,0.35,50,0.435,50,0.55,50,0.63
70,0.565,70,0.675,70,0.8,70,0.96,70,1.09
90,1.01,90,1.135,90,1.3,90,1.475,90,1.61
110,1.55,110,1.72,110,1.91,110,2.085,110,2.245
130,2.2,130,2.42,130,2.61,130,2.8,130,3
150,3.025,150,3.265,150,3.465,150,3.66,150,3.855
170,3.99,170,4.19,170,4.425,170,4.615,170,4.765
190,5.04,190,5.24,190,5.475,190,5.68,190,5.86
210,6.195,210,6.445,210,6.625,210,6.86,210,7.09
230,7.5,230,7.765,230,7.95,230,8.185,230,8.405
250,8.9,250,9.19,250,9.375,250,9.6,250,9.825
270,10.535,270,10.825,270,11.025,270,11.225,270,11.47
290,12.115,290,12.35,290,12.56,290,12.76,290,13.015
300,12.975,300,13.2,300,13.44,300,13.65,300,13.9
