X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
200,2.74,200,3.34,200,3.9,200,3.46
250,4.6,250,5.2,250,5.88,250,5.4
300,6.9,300,7.6,300,8.26,300,7.84
350,9.76,350,10.48,350,11.16,350,10.7
400,13.02,400,13.76,400,14.48,400,14
450,16.66,450,17.44,450,18.2,450,17.66
500,20.72,500,21.48,500,22.3,500,21.8
550,25.48,550,26.24,550,27.06,550,26.54
600,30.6,600,31.38,600,32.16,600,31.66
650,36.32,650,37.06,650,37.8,650,37.4
700,42.36,700,43.16,700,43.96,700,43.54
750,48.74,750,49.68,750,50.46,750,50.06
