X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
120,0.66,120,0.8,120,1.02,120,1.42
150,1.02,150,1.22,150,1.48,150,2
200,1.8,200,2.02,200,2.4,200,3.28
250,2.8,250,3.18,250,3.56,250,4.74
300,4.3,300,4.74,300,5.2,300,6.68
350,6.46,350,7,350,7.54,350,9.1
400,9.16,400,9.76,400,10.4,400,11.98
450,12.32,450,12.96,450,13.58,450,15.22
500,15.76,500,16.42,500,17.04,500,18.72
550,19.8,550,20.56,550,21,550,22.74
600,24.18,600,24.78,600,25.4,600,27.12
650,29.02,650,29.58,650,30.24,650,31.94
700,34.12,700,34.48,700,35.34,700,37
750,39.68,750,40.28,750,40.9,750,42.6
800,45.6,800,46.2,800,46.86,800,48.6
850,52.1,850,52.68,850,53.28,850,55.06
900,58.9,900,59.46,900,60.04,900,61.8
920,61.8,920,62.4,920,63,920,64.7
