X_0,Y_0,X_20,Y_20,X_40,Y_40
200,1.4,200,1.72,200,2
225,1.92,225,2.24,225,2.6
250,2.52,250,2.9,250,3.26
275,3.26,275,3.7,275,4.14
300,4.12,300,4.6,300,5.1
325,5.16,325,5.66,325,6.18
350,6.32,350,6.82,350,7.38
400,9.1,400,9.68,400,10.26
450,12.46,450,13,450,13.56
500,16.1,500,16.74,500,17.3
550,20.2,550,20.86,550,21.42
600,24.86,600,25.48,600,26.06
650,29.9,650,30.5,650,31.2
700,35.34,700,36,700,36.6
