X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
100,0.65,100,0.685,100,0.72,100,0.76,100,0.8
125,1,125,1.05,125,1.1,125,1.15,125,1.2
150,1.47,150,1.54,150,1.6,150,1.68,150,1.75
175,2.02,175,2.1,175,2.2,175,2.3,175,2.4
200,2.65,200,2.75,200,2.88,200,2.99,200,3.1
225,3.35,225,3.5,225,3.63,225,3.78,225,3.95
250,4.12,250,4.28,250,4.48,250,4.67,250,4.82
275,4.98,275,5.2,275,5.41,275,5.63,275,5.85
300,5.94,300,6.17,300,6.44,300,6.7,300,6.99
325,6.99,325,7.29,325,7.6,325,7.9,325,8.3
350,8.08,350,8.43,350,8.78,350,9.16,350,9.51
375,9.27,375,9.7,375,10.1,375,10.5,375,10.9
400,10.55,400,11.02,400,11.5,400,11.96,400,12.4
425,11.9,425,12.43,425,12.96,425,13.53,425,14.02
450,13.33,450,13.95,450,14.56,450,15.14,450,15.7
