X_0,Y_0,X_20,Y_20,X_40,Y_40,X_ICE,Y_ICE
120,1.04,120,1.46,120,1.9,120,1.5
150,1.6,150,2.1,150,2.56,150,2.1
180,2.3,180,2.84,180,3.36,180,2.94
210,3.12,210,3.66,210,4.28,210,3.8
240,3.96,240,4.56,240,5.2,240,4.8
270,4.96,270,5.66,270,6.36,270,5.94
300,6.28,300,7,300,7.74,300,7.34
330,7.76,330,8.52,330,9.32,330,8.84
360,9.44,360,10.2,360,11,360,10.54
390,11.2,390,12,390,12.84,390,12.38
420,13.2,420,14,420,14.86,420,14.4
450,15.4,450,16.2,450,17.08,450,16.6
480,17.7,480,18.52,480,19.44,480,18.9
530,21.88,530,22.7,530,23.6,530,23.08
580,26.46,580,27.28,580,28.14,580,27.7
630,31.5,630,32.34,630,33.14,630,32.72
680,37.12,680,37.96,680,38.74,680,38.28
730,43.06,730,43.88,730,44.78,730,44.24
780,49.3,780,50.2,780,51.06,780,50.54
830,56.16,830,57,830,57.86,830,57.4
880,63.64,880,64.4,880,65.3,880,64.84
914,69,914,69.76,914,70.66,914,70.2
