X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
30,0.266,30,0.312,30,0.356,30,0.404,30,0.448
33,0.326,33,0.37,33,0.424,33,0.47,33,0.522
36,0.398,36,0.444,36,0.498,36,0.546,36,0.6
39,0.48,39,0.53,39,0.58,39,0.634,39,0.684
42,0.57,42,0.622,42,0.67,42,0.722,42,0.776
45,0.666,45,0.716,45,0.766,45,0.818,45,0.872
48,0.764,48,0.816,48,0.866,48,0.916,48,0.974
51,0.872,51,0.92,51,0.974,51,1.026,51,1.08
54,0.98,54,1.034,54,1.086,54,1.14,54,1.196
57,1.098,57,1.152,57,1.204,57,1.26,57,1.314
60,1.222,60,1.274,60,1.332,60,1.38,60,1.436
63,1.35,63,1.408,63,1.462,63,1.512,63,1.57
66,1.49,66,1.544,66,1.6,66,1.654,66,1.708
69,1.632,69,1.688,69,1.744,69,1.8,69,1.856
72,1.786,72,1.84,72,1.898,72,1.95,72,2.01
75,1.94,75,2,75,2.058,75,2.11,75,2.166
78,2.11,78,2.162,78,2.222,78,2.276,78,2.336
81,2.278,81,2.33,81,2.39,81,2.446,81,2.508
84,2.45,84,2.506,84,2.566,84,2.622,84,2.682
87,2.626,87,2.686,87,2.746,87,2.802,87,2.864
90,2.804,90,2.864,90,2.926,90,2.984,90,3.046
92,2.93,92,2.99,92,3.046,92,3.108,92,3.17
