X_0,Y_0,X_20,Y_20,X_40,Y_40
100,2.44,100,2.68,100,2.96
125,3.9,125,4.18,125,4.44
150,5.56,150,5.86,150,6.14
175,7.46,175,7.76,175,8.08
200,9.84,200,10.16,200,10.46
225,12.68,225,12.96,225,13.2
250,15.56,250,15.84,250,16.1
275,18.74,275,19.04,275,19.3
300,22.46,300,22.74,300,23
350,30.54,350,30.86,350,31.14
400,39.9,400,40.22,400,40.54
450,50.6,450,50.86,450,51.18
500,62.3,500,62.6,500,62.94
550,75.5,550,75.82,550,76.1
