X_0,Y_0,X_20,Y_20,X_40,Y_40
30,0.2,30,0.3,30,0.39
40,0.35,40,0.47,40,0.58
50,0.6,50,0.73,50,0.85
60,0.92,60,1.06,60,1.18
70,1.3,70,1.44,70,1.6
80,1.73,80,1.87,80,2.03
90,2.19,90,2.33,90,2.49
100,2.7,100,2.85,100,3.03
110,3.32,110,3.47,110,3.62
120,4,120,4.15,120,4.29
130,4.72,130,4.87,130,5.02
140,5.5,140,5.65,140,5.8
150,6.3,150,6.47,150,6.6
152.5,6.52,152.5,6.67,152.5,6.81
