-750.000000,1981.320000
-735.000000,1899.136656
-720.000000,1818.758054
-705.000000,1740.175200
-690.000000,1663.379301
-675.000000,1588.361763
-660.000000,1515.114192
-645.000000,1443.628390
-630.000000,1373.896358
-615.000000,1305.910294
-600.000000,1239.662589
-585.000000,1175.145830
-570.000000,1112.352798
-555.000000,1051.276465
-540.000000,991.909998
-525.000000,934.246753
-510.000000,878.280277
-495.000000,824.004308
-480.000000,771.412772
-465.000000,720.499784
-450.000000,671.259647
-435.000000,623.686850
-420.000000,577.776070
-405.000000,533.522169
-390.000000,490.920196
-375.000000,449.965384
-360.000000,410.653148
-345.000000,372.979090
-330.000000,336.938995
-315.000000,302.528829
-300.000000,269.744742
-285.000000,238.583065
-270.000000,209.040311
-255.000000,181.113174
-240.000000,154.798530
-225.000000,130.093432
-210.000000,106.995118
-195.000000,85.501001
-180.000000,65.608678
-165.000000,47.315921
-150.000000,30.620684
-135.000000,15.521099
-120.000000,2.015475
-105.000000,-9.897697
-90.000000,-20.219752
-75.000000,-28.951845
-60.000000,-36.094953
-45.000000,-41.649874
-30.000000,-45.617231
-15.000000,-47.997468
0.000000,-48.790851
15.000000,-47.997468
30.000000,-45.617231
45.000000,-41.649874
60.000000,-36.094953
75.000000,-28.951845
90.000000,-20.219752
105.000000,-9.897697
120.000000,2.015475
135.000000,15.521099
150.000000,30.620684
165.000000,47.315921
180.000000,65.608678
195.000000,85.501001
210.000000,106.995118
225.000000,130.093432
240.000000,154.798530
255.000000,181.113174
270.000000,209.040311
285.000000,238.583065
300.000000,269.744742
315.000000,302.528829
330.000000,336.938995
345.000000,372.979090
360.000000,410.653148
375.000000,449.965384
390.000000,490.920196
405.000000,533.522169
420.000000,577.776070
435.000000,623.686850
450.000000,671.259647
465.000000,720.499784
480.000000,771.412772
495.000000,824.004308
510.000000,878.280277
525.000000,934.246753
540.000000,991.909998
555.000000,1051.276465
570.000000,1112.352798
585.000000,1175.145830
600.000000,1239.662589
615.000000,1305.910294
630.000000,1373.896358
645.000000,1443.628390
660.000000,1515.114192
675.000000,1588.361763
690.000000,1663.379301
705.000000,1740.175200
720.000000,1818.758054
735.000000,1899.136656
750.000000,1981.320000
