name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
61,R5+8.00,375,-91.94,BA350,  ,317.5,146.64,76.45,,
62,T5,400,-23.21,term,20.8164,387.5,126.18,18.02,back: 400,back: 100
63,T5+18.00,313,-25.09,BA350,23.4775,356.5,387.87,400.76,,
64,R5+18.00,350,-39.68,BA350,1.6762,331.5,378.2,397.56,,
65,R5,286.4,-9.21,BA350,1.7516,318.2,203.69,156.29,,
66,Z5+8.00,408.6,8.89,BA350,33.2587,347.5,271.24,239.69,,
67,R5+8.00,420,72.1,BA350,  ,414.3,203.69,116.38,,
68,RE5+8.00,300,16.98,BA350,  ,360,521.28,588.24,,
69,G5+8.00,342.47,7.1,BA350,  ,321.235,372,392.97,,
70,Z5+8.00,462.53,15.13,term,33.0991,402.5,385.63,378.58,,
71,TE5,580.38,-7,term,  ,521.455,584.63,610.88,,
72,T5,224.62,-0.51,BA350,17.3905,402.5,388.71,382.95,,
73,R5+8.00,370,39.35,BA350,  ,297.31,144,80.53,,
74,R5,305,14.78,BA350,  ,337.5,419.05,452.85,,
75,R5+8.00,274.87,-20.64,BA350,  ,289.935,464.72,536.93,,
76,ZE5+8.00,331.7,-95.5,2000,33.8139,303.285,333.65,298.49,,
77,ZE5+8.00,302,-42.69,term,40.801,316.85,379.68,453.39,,
78,Z5,247,-8.06,term,34.8585,274.5,121.3,57.96,,
79,Z5*,62.48,-6.9,1000,93.6666,154.74,147.53,128.45,,
