name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
0,Z5+8.00,45.86,-3.35,1000,  ,-,-,-,,
1,Z5+8.00,316.72,37.54,term,41.4578,181.29,-11.89,-81.08,,
2,ZE5,290,-95.12,term,17.264,303.36,927.06,1184.81,,
3,T5+18.00,483,-89,term,27.1636,386.5,188.72,107.57,back:1150,back:300
4,T5+8.00,609.45,-87.15,BA500,19.5296,546.225,488.19,464.48,,
5,R5+8.00,500.43,36.66,BA500,  ,554.94,251.13,124.51,,
6,TE5+18.00,434.57,-58.8,term,23.8229,467.5,761.3,883.24,,
7,T5+18.00,424.26,59.58,term,  ,429.415,41.12,-119.9,,
8,Z5+8.00,290.74,119.49,2000,11.8105,357.5,369.93,431.68,,
9,T5+8.00,185,55.78,2000,  ,237.87,284.4,289.73,,
10,ZE5+8.00,380,-3.07,BA350,  ,282.5,432.7,452.34,,
11,G5+8.00,340,32.33,BA350,  ,360,214.28,154,,
12,G5+8.00,214.96,19.82,BA350,  ,277.48,281.34,283.07,,
13,RE5+8.00,425.05,-50.92,BA350,1.6436,320.005,620.16,750.37,,
14,ZE5+8.00,160,-69.11,2000,  ,292.525,319.14,263.79,,
15,ZE5+8.00,750,-35.33,term,  ,455,324.69,331.4,,
16,ZE5+8.00,240,103.83,2000,  ,495,233.49,184.59,,
17,ZE5+8.00,398.42,-35.37,term,  ,319.21,640.02,713.1,,
18,T5+8.00,511.58,78.3,BA350,5.5452,455,114.67,-26.64,,
19,R5,330,19.81,BA350,  ,420.79,550.91,605.2,,
20,G5,220,16.36,BA350,  ,275,254.68,246.36,,
21,ZE5,377.52,-85.42,term,  ,298.76,721.23,896.01,,
22,T5+8.00,527.48,11.99,term,3.7897,452.5,103.21,-41.47,back:250,back:75
23,ZE5,220,-73.81,BA350,  ,373.74,872.56,1078.51,,
24,R5+8.00,369.7,-74.7,BA350,  ,294.85,111.87,36.72,100,25
25,T5+18.00,420.3,19.77,BA350,13.3363,395,44.77,-100.26,back:100,back:25
26,R5,265,62.21,BA350,  ,342.65,79.67,-28.83,200,50
27,S5+8.00,203.5,50.17,BA350,  ,234.25,217.81,211.17,,
28,ZE5,266.5,-42.75,BA350,23.6307,235,807.05,1043.16,,
29,R5+8.00,550,-59.37,BA350,  ,408.25,333.88,303.67,,
30,R5,355,-11.66,BA350,  ,452.5,347.11,303.1,,
31,G5,275,-0.12,BA350,  ,315,269.18,250.22,,
32,R5,345,34.87,BA350,  ,310,166.64,107.34,,
33,G5+8.00,204.26,41.34,BA350,  ,274.63,132.57,74.11,150,50
34,ZE5+8.00,525.75,-57.13,BA350,21.4453,365.005,802.72,983.84,,
35,RE5,500,-115.46,BA350,  ,512.875,682.92,753.52,,
36,G5,359.99,-40.17,BA350,  ,429.995,264.5,195.46,,
37,R5+8.00,360,5.53,BA350,  ,359.995,180.82,106.66,,
38,R5,205,-26.6,BA350,  ,282.5,487.5,572.12,,
39,G5,380,-31.56,BA350,  ,292.5,226.48,199.42,,
40,G5,400,-38.56,BA350,  ,390,408.77,416.57,,
41,G5+8.00,390,-12.29,BA350,  ,395,303.5,265.59,,
42,G5+8.00,395,-8.82,BA350,  ,392.5,379.52,374.15,,
43,G5+8.00,500,17.91,BA350,  ,447.5,365.43,331.36,,
44,R5+8.00,435,-15.92,BA350,  ,467.5,569.68,612.11,,
45,R5,308.45,-30.2,BA350,  ,371.725,458.37,494.12,,
46,T5+8.00,361.55,35.9,BA350,4.363,335,56.5,-58.7,,
47,R5+8.00,210,-5.83,BA350,  ,285.775,465.3,539.55,,
48,R5+18.00,465,53.09,BA350,  ,337.5,137.34,54.35,,
49,RE5,460,17.94,BA350,  ,462.5,568.27,612.18,,
50,G5+8.00,390,35.19,BA350,  ,425,352.66,322.74,,
51,R5,375,81.85,BA350,  ,382.5,203.68,129.67,,
52,RE5,230.8,2.13,BA350,  ,302.9,596.05,717.43,,
53,T5+8.00,409.2,-45.48,BA350,4.8855,320,489.81,560.16,,
54,G5,385,2.94,BA350,  ,397.1,229.55,160.12,,
55,R5,485,66.28,BA350,  ,435,253.55,178.17,,
56,R5+8.00,265,76.47,BA350,  ,375,164.12,77.49,,
57,R5+18.00,215,63.19,BA350,  ,240,232.54,229.6,,
58,ZE5,190,-36.16,BA350,  ,202.5,881.12,1161.11,,
59,R5+18.00,410,-69.43,BA350,  ,300,270.14,258.27,,
60,RE5,260,-96.49,BA350,  ,335,610.96,724.57,,
