name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
0,Z5+8.00,45.86,-3.04,1000,  ,-,-,-,,
1,Z5+8.00,300,37,term,36.8631,181.29,-11.89,-81.08,,
2,ZE5,345,-71.73,term,  ,303.36,927.06,1184.81,,
3,ZE5+8.00,470,-111.08,term,47.1926,386.5,188.72,107.57,back:300,back:75
4,TE5+8.00,609.45,-88.03,BA500,12.1697,546.225,488.19,464.48,,
5,R5+8.00,500.43,34.37,BA500,  ,554.94,251.13,124.51,,
6,R5+18.00,439.17,-0.35,BA500,  ,467.5,761.3,883.24,,
7,Z5,510,47.54,term,37.1378,429.415,41.12,-119.9,,
8,T5+18.00,345,101.04,term,20.5045,357.5,369.93,431.68,front:900,front:225
9,ZE5,310,23.97,BA350,26.2783,237.87,284.4,289.73,,
10,R5+8.00,525,36.02,BA350,0.2137,282.5,432.7,452.34,,
11,R5+8.00,214.96,19.8,BA350,4.1955,360,214.28,154,,
12,RE5+8.00,425.05,-50.92,BA350,1.6436,320,621.31,752.04,,
13,ZE5+8.00,160,-69.11,2000,  ,292.525,319.14,263.79,,
14,ZE5+8.00,750,-35.33,term,  ,455,324.69,331.4,,
15,ZE5+8.00,240,103.83,2000,  ,495,233.49,184.59,,
16,ZE5+8.00,398.42,-35.37,term,  ,319.21,640.02,713.1,,
17,T5+8.00,511.58,78.3,BA350,5.5452,455,114.67,-26.64,,
18,R5,330,19.81,BA350,  ,420.79,550.91,605.2,,
19,G5,220,16.36,BA350,  ,275,254.68,246.36,,
20,ZE5,377.52,-85.42,term,  ,298.76,721.23,896.01,,
21,T5+8.00,527.48,11.99,term,3.7897,452.5,103.21,-41.47,back:250,back:75
22,ZE5,220,-73.81,BA350,  ,373.74,872.56,1078.51,,
23,R5+8.00,369.7,-74.7,BA350,  ,294.85,111.87,36.72,100,25
24,T5+18.00,420.3,19.77,BA350,13.3363,395,44.77,-100.26,back:100,back:25
25,R5,265,62.21,BA350,  ,342.65,79.67,-28.83,200,50
26,S5+8.00,203.5,50.17,BA350,  ,234.25,217.81,211.17,,
27,ZE5,266.5,-42.75,BA350,23.6307,235,807.05,1043.16,,
28,R5+8.00,550,-59.37,BA350,  ,408.25,333.88,303.67,,
29,R5,355,-11.66,BA350,  ,452.5,347.11,303.1,,
30,G5,275,-0.12,BA350,  ,315,269.18,250.22,,
31,R5,345,34.87,BA350,  ,310,166.64,107.34,,
32,G5+8.00,204.26,41.34,BA350,  ,274.63,132.57,74.11,150,50
33,ZE5+8.00,525.75,-57.13,BA350,21.4453,365.005,802.72,983.84,,
34,RE5,500,-115.46,BA350,  ,512.875,682.92,753.52,,
35,G5,359.99,-40.17,BA350,  ,429.995,264.5,195.46,,
36,R5+8.00,360,5.53,BA350,  ,359.995,180.82,106.66,,
37,R5,205,-26.6,BA350,  ,282.5,487.5,572.12,,
38,G5,380,-31.56,BA350,  ,292.5,226.48,199.42,,
39,G5,400,-38.56,BA350,  ,390,408.77,416.57,,
40,G5+8.00,390,-12.29,BA350,  ,395,303.5,265.59,,
41,G5+8.00,395,-8.82,BA350,  ,392.5,379.52,374.15,,
42,G5+8.00,500,17.91,BA350,  ,447.5,365.43,331.36,,
43,R5+8.00,435,-15.92,BA350,  ,467.5,569.68,612.11,,
44,R5,308.45,-30.2,BA350,  ,371.725,458.37,494.12,,
45,T5+8.00,361.55,35.9,BA350,4.363,335,56.5,-58.7,,
46,R5+8.00,210,-5.83,BA350,  ,285.775,465.3,539.55,,
47,R5+18.00,465,53.09,BA350,  ,337.5,137.34,54.35,,
48,RE5,460,17.94,BA350,  ,462.5,568.27,612.18,,
49,G5+8.00,390,35.19,BA350,  ,425,352.66,322.74,,
50,R5,375,81.85,BA350,  ,382.5,203.68,129.67,,
51,RE5,230.8,2.13,BA350,  ,302.9,596.05,717.43,,
52,T5+8.00,409.2,-45.48,BA350,4.8855,320,489.81,560.16,,
53,G5,385,2.94,BA350,  ,397.1,229.55,160.12,,
54,R5,485,66.28,BA350,  ,435,253.55,178.17,,
55,R5+8.00,265,76.47,BA350,  ,375,164.12,77.49,,
56,R5+18.00,215,63.19,BA350,  ,240,232.54,229.6,,
57,ZE5,190,-36.16,BA350,  ,202.5,881.12,1161.11,,
58,R5+18.00,410,-69.43,BA350,  ,300,270.14,258.27,,
59,RE5,260,-96.49,BA350,  ,335,610.96,724.57,,
60,R5+8.00,375,-91.94,BA350,  ,317.5,146.64,76.45,,
61,T5,400,-23.21,term,20.8164,387.5,126.18,18.02,back: 400,back: 100
62,T5+18.00,313,-25.09,BA350,23.4775,356.5,387.87,400.76,,
63,R5+18.00,350,-39.68,BA350,1.6762,331.5,378.2,397.56,,
64,R5,286.4,-9.21,BA350,1.7516,318.2,203.69,156.29,,
65,Z5+8.00,408.6,8.89,BA350,33.2587,347.5,271.24,239.69,,
66,R5+8.00,420,72.1,BA350,  ,414.3,203.69,116.38,,
67,RE5+8.00,300,16.98,BA350,  ,360,521.28,588.24,,
68,G5+8.00,342.47,7.1,BA350,  ,321.235,372,392.97,,
69,Z5+8.00,462.53,15.13,term,33.0991,402.5,385.63,378.58,,
70,TE5,580.38,-7,term,  ,521.455,584.63,610.88,,
71,T5,224.62,-0.51,BA350,17.3905,402.5,388.71,382.95,,
72,R5+8.00,370,39.35,BA350,  ,297.31,144,80.53,,
73,R5,305,15.42,BA350,  ,337.5,419.05,452.85,,
